wkt_geom	osm_id	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel	path
LineString (113.91872960000000603 22.52701210000000032, 113.91878189999999904 22.52724830000000011, 113.91888380000000325 22.52767160000000146, 113.91891999999999996 22.52780449999999846, 113.9191242999999929 22.5285556999999983, 113.91930000000000689 22.52932699999999855, 113.91955629999999644 22.53050070000000105, 113.9197041999999982 22.53124880000000019, 113.91980529999999305 22.53185810000000089, 113.91982819999999776 22.53202179999999899, 113.91992329999999356 22.5327005999999983, 113.92000090000000512 22.53377499999999856, 113.92002650000000585 22.53479610000000122, 113.92003379999999879 22.53517030000000076, 113.9200318999999979 22.53531189999999995, 113.92003569999999968 22.53542930000000055)	101316004	5113	primary	南山大道		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94665349999999648 22.48798269999999988, 113.94632970000000682 22.48858800000000002, 113.94569690000000151 22.48960389999999876)	101316157	5113	primary	深港西部通道 Hong Kong–Shenzhen Western Corridor	10	F	0	2	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.89582149999999672 22.56903630000000049, 113.89611349999999845 22.56927500000000109, 113.8964315000000056 22.56954719999999881, 113.89923779999999454 22.57194859999999892, 113.89933329999999501 22.57203020000000038, 113.89989110000000494 22.5725081000000003, 113.90300129999999967 22.57516980000000117, 113.90430739999999332 22.57628760000000057, 113.90579259999999806 22.5775585999999997, 113.90586290000000247 22.57761879999999977, 113.90680940000000021 22.57842880000000108, 113.90762359999999376 22.57912560000000113, 113.90929680000000701 22.58055750000000117, 113.91018239999999651 22.58131540000000115)	101315890	5113	primary	创业二路	S359	F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.89031070000000057 22.5645150000000001, 113.88955409999999802 22.56391759999999991, 113.88946149999999591 22.56383999999999901, 113.88838470000000314 22.56293709999999919, 113.88734300000000133 22.56206260000000086, 113.88698229999999967 22.56175980000000081, 113.8868388000000067 22.5616355999999989)	101315995	5113	primary	创业一路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.01702960000000076 22.55326810000000037, 114.01640449999999305 22.55413370000000128, 114.01627179999999839 22.5543414999999996, 114.0161236999999943 22.55459760000000102, 114.01602350000000285 22.55479899999999915, 114.0159012999999959 22.55507190000000151, 114.01576819999999657 22.55543869999999984, 114.01568349999999441 22.55574079999999881, 114.01562930000000051 22.55597970000000174, 114.01558900000000563 22.55620670000000061)	96336938	5113	primary	香蜜湖路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.91007539999999665 22.58141919999999914, 113.90919139999999743 22.58066050000000047, 113.90658259999999302 22.57842139999999986, 113.90576260000000275 22.57771749999999855, 113.90569639999999652 22.57766080000000031, 113.90478840000000105 22.57688140000000132, 113.9029055000000028 22.57526530000000164, 113.89923989999999776 22.57212330000000122, 113.8991458999999935 22.57204030000000117, 113.89831890000000669 22.57132849999999991, 113.89770819999999674 22.57080429999999893, 113.89704190000000494 22.57023239999999831, 113.89634460000000615 22.56963389999999947, 113.89602940000000331 22.56936329999999913, 113.89574419999999577 22.56911720000000088)	101315820	5113	primary	创业二路	S359	F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.98330620000000124 22.55787430000000171, 113.98337610000000097 22.55899790000000138, 113.98352169999999717 22.56114880000000156)	96328159	5113	primary	南坪快速路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (114.01558900000000563 22.55620670000000061, 114.01531649999999729 22.55784200000000084, 114.0151957000000067 22.55845550000000088, 114.01513540000000546 22.5587383999999993)	96336927	5113	primary	香蜜湖路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94040119999999661 22.56449290000000119, 113.94050489999999343 22.56445599999999985, 113.9405679000000049 22.5643609000000005, 113.94058420000000353 22.5642485999999991, 113.94058699999999362 22.56345280000000031, 113.94060779999999511 22.56236709999999945, 113.9406285999999966 22.56126920000000169, 113.94064229999999327 22.55996820000000014)	107586314	5113	primary	科苑路		F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94218890000000499 22.49086289999999977, 113.94445210000000657 22.49089560000000176, 113.94459340000000225 22.49089509999999947, 113.94475819999999544 22.49088709999999836, 113.94490790000000402 22.49087069999999855, 113.94505069999999591 22.4908418999999995, 113.94519150000000707 22.4908089000000011, 113.94533640000000219 22.49076330000000112, 113.94545119999999372 22.49071779999999876, 113.9455662000000018 22.49065750000000108, 113.94567399999999679 22.49058529999999934, 113.94576109999999858 22.49050959999999932, 113.94586119999999596 22.49040790000000101, 113.94595889999999372 22.49029630000000068, 113.94606339999999989 22.49015320000000173, 113.94612929999999551 22.49003629999999987, 113.94620550000000492 22.48987719999999868)	111708099	5113	primary	深港西部通道 Hong Kong–Shenzhen Western Corridor		F	0	2	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.89574419999999577 22.56911720000000088, 113.89486899999999991 22.56835960000000085, 113.89442649999999446 22.56798069999999967, 113.89426690000000519 22.56788249999999962, 113.89411669999999788 22.56782159999999848, 113.89395779999999547 22.56778380000000084, 113.89377860000000453 22.56776049999999856, 113.89327199999999607 22.56770470000000017, 113.89308769999999527 22.56767089999999953, 113.89292659999999557 22.56762630000000058, 113.89278210000000513 22.56757010000000108, 113.89256290000000149 22.56745019999999968, 113.89240060000000199 22.56734499999999954, 113.89227400000000046 22.56723489999999899, 113.89212009999999964 22.56708160000000163, 113.89199189999999362 22.56692139999999824, 113.89189759999999296 22.56676769999999976, 113.89182139999999777 22.56657870000000088, 113.89167460000000176 22.56603690000000029, 113.89162509999999884 22.56587379999999854, 113.89156540000000462 22.56572099999999992, 113.89150399999999763 22.56560680000000119, 113.89138350000000344 22.56544279999999958, 113.89031070000000057 22.5645150000000001)	101317271	5113	primary	创业二路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.94473019999999508 22.49132519999999857, 113.94465719999999465 22.4914752, 113.94463709999999423 22.49152339999999839, 113.94462439999999503 22.49157359999999883, 113.94462319999999522 22.49162069999999858, 113.9446295000000049 22.49167350000000098, 113.94464109999999835 22.49173980000000128, 113.94468469999999627 22.49199600000000032, 113.94468910000000506 22.49203990000000175, 113.94465970000000254 22.49442960000000014, 113.94465499999999736 22.4946899000000009, 113.94466520000000287 22.49477890000000002, 113.94469660000000033 22.49486130000000017, 113.94484459999999615 22.4950480000000006, 113.94492080000000556 22.49516919999999942, 113.94499999999999318 22.49535429999999891, 113.9450331000000034 22.4955178999999994, 113.94500250000000108 22.49686510000000084)	101317544	5113	primary			F	0	0	F	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.90241349999999443 22.54587619999999859, 113.90262119999999868 22.5456499000000008, 113.90281640000000607 22.54545269999999846, 113.90300510000000145 22.54528330000000125, 113.9031755999999973 22.54515749999999841, 113.90336440000000096 22.54502949999999828, 113.90358569999999361 22.5449048999999988, 113.90385550000000592 22.54477139999999835, 113.9040890999999931 22.54467680000000129, 113.90433120000000145 22.54460209999999876, 113.90452569999999355 22.54455400000000154, 113.90475299999999947 22.54451140000000109, 113.904987399999996 22.54448019999999886, 113.90531790000000001 22.54445869999999985, 113.90559690000000614 22.54445889999999864)	101317038	5113	primary	宝安大道		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
LineString (113.89038999999999646 22.56439089999999936, 113.89175529999999981 22.56557270000000059, 113.89198330000000681 22.5657603999999985, 113.89210520000000315 22.56583270000000141, 113.89225209999999322 22.56587370000000092, 113.89241490000000567 22.56589479999999881, 113.8927314000000024 22.56592270000000156, 113.89283930000000566 22.56594610000000145, 113.89296079999999733 22.56598280000000045, 113.89314699999999903 22.56605409999999878, 113.89328980000000513 22.56613940000000085, 113.89342910000000586 22.56623880000000071, 113.89356890000000533 22.56637190000000004, 113.8936960000000056 22.56649960000000021, 113.89377509999999916 22.56661240000000035, 113.89384730000000445 22.56675729999999902, 113.89400460000000237 22.56718340000000111, 113.89405600000000618 22.56730170000000157, 113.89419270000000495 22.56753589999999932, 113.89428859999999588 22.56766719999999893, 113.89449969999999723 22.56791339999999835, 113.89582149999999672 22.56903630000000049)	101317096	5113	primary	创业二路		F	0	1	T	F	E:/GeohazardsKG/Typhoon_Shenzhen_KG/road_clip/fclass_primary.shp
